container,include_writable_layer,stop_container
airflow,false,false
bugbox_api,false,false
bugbox_compiler,false,false
bugbox_rdb,false,false
bugbox-streamlit,false,false
competent_shtern,false,false
epic_nobel,false,false
goofy_meitner,false,false
grafana,false,false
great_yonath,false,false
happy_swartz,true,false
kafka,false,false
kafka-ui,false,false
mongodb,false,false
nginx.modsecurity,false,false
nice_goodall,false,false
nifty_blackwell,false,false
peaceful_jepsen,false,false
postgres-todd,false,false
quizzical_blackburn,false,false
recursing_booth,false,false
serverpage,false,false
silly_chandrasekhar,false,false
single-node_wazuh.dashboard_1,false,false
single-node_wazuh.indexer_1,false,false
single-node_wazuh.manager_1,false,false
suspicious_kepler,false,false
test-container,false,false
zabbix-server,false,false
zabbix-server-todd,false,false
zabbix-web,false,false
zabbix-web-todd,false,false
